,runid,name,normal_class,loss_mode,noise_mode,test_rocauc
243,36kt7bac,mvtec_fcdd_20220520004942.normal_5.it_1,5,pixel-wise-averages-per-image,confetti,"[0.3403633442846067, 0.9503270118849481, 0.9454706097022235, 0.9509649734368836, 0.9622296585486769, 0.9726068837783608, 0.9257978736193192, 0.9453666206814709, 0.9536207574367711, 0.9298515572781173, 0.9328114228194165, 0.9628953861520281, 0.9280856181880109, 0.9546098007493188, 0.9293194767675147, 0.9398001316498115, 0.9570459834684215, 0.955142183258422, 0.9526929629144281, 0.9503851779619699, 0.9445577250687983, 0.9578021299583269, 0.9481258570419009, 0.9692022222710204, 0.9562317572213753, 0.9466530750934421, 0.9442788211783536, 0.9566763856583252, 0.9688778482755088, 0.9615046139146615, 0.9697896308658513, 0.9304046806435885, 0.9629516005778703, 0.9500497379658385, 0.9570675161024237, 0.9394336345706633, 0.9507399371508084, 0.9541714526829039, 0.9548825005703856, 0.9454698659818634, 0.9622005892799893, 0.9513886729076603, 0.9658342112329843, 0.9555495621110268, 0.958701147580451, 0.9538374082843012, 0.9562798436230219, 0.9595566437559016, 0.9665361035422343, 0.9635981491809713, 0.9557748245818035]"
247,30uqv879,mvtec_fcdd_20220520004942.normal_13.it_2,13,pixel-wise-averages-per-image,confetti,"[0.6817360903999735, 0.7810965125057772, 0.8353133686657584, 0.8682021712432446, 0.8748987268518519, 0.869320160167131, 0.8561559338761411, 0.9058152045636375, 0.9019654296652893, 0.8824182437889603, 0.8693615734114176, 0.8784507572903323, 0.8859265883639594, 0.865620644393023, 0.8770452193969362, 0.8888696255201111, 0.8922540873760386, 0.9011037091866108, 0.9121478895998965, 0.902224695652174, 0.8984221234270213, 0.9029425127935339, 0.9307831757331065, 0.907356796596755, 0.8871207656254385, 0.9118291913300838, 0.8839074989242546, 0.8861153483781238, 0.903639469428943, 0.9114761510059528, 0.9060297764467509, 0.8894, 0.8973943184387009, 0.9278589654372535, 0.903648028544191, 0.8906606596609594, 0.9336001364400899, 0.8907830459019704, 0.9056775497982574, 0.9179139662133446, 0.9097124019080315, 0.9078189355577078, 0.9205823216023769, 0.9074551028325248, 0.9131895729482351, 0.904367088819703, 0.917105629537345, 0.9087082500751652, 0.9018314583562936, 0.9129569814989077, 0.9078986986196057]"
255,2vtk2buw,mvtec_fcdd_20220520004942.normal_13.it_1,13,pixel-wise-averages-per-image,confetti,"[0.6776156767955801, 0.8099699241805066, 0.8588187826086957, 0.8463247821708126, 0.8433369069954436, 0.8868151835860512, 0.8285640087059755, 0.889961212763335, 0.8502586206896552, 0.8922910384288255, 0.8920215429166836, 0.9139868887046946, 0.8969971332094122, 0.8704151910180093, 0.8788491251740946, 0.9039361679300865, 0.8919939842153155, 0.8805356676532032, 0.8762175483433519, 0.8768580579738822, 0.8724160879629631, 0.8732273378042349, 0.8868399971304223, 0.8787175043327556, 0.8826146302006975, 0.888409080712459, 0.86528008003427, 0.8544469726948951, 0.9047208879597587, 0.8986430555881377, 0.8586187685765039, 0.8765952316541008, 0.9033437397305291, 0.9041615756481087, 0.9097652250764937, 0.8889293997306029, 0.8789201516716681, 0.8757718111365842, 0.8717447916666666, 0.9153567709624635, 0.8714468557926273, 0.8924776880577985, 0.913946883252778, 0.8783549234532113, 0.8863778530792058, 0.9022146527073673, 0.901880787037037, 0.8836188213135255, 0.9172591377267341, 0.9089124680335591, 0.8896531890568157]"
256,1rffta8c,mvtec_fcdd_20220520004942.normal_5.it_0,5,pixel-wise-averages-per-image,confetti,"[0.27704572547683926, 0.9168009078712631, 0.941764202112475, 0.935989791556662, 0.9463042666725224, 0.9411703951581252, 0.953797566837061, 0.9278991537541902, 0.9532943128448748, 0.942657240370551, 0.927676457488455, 0.9503708557200892, 0.9554587887067395, 0.9615136048363705, 0.9470056349102346, 0.9396825396825397, 0.9635878209497841, 0.9431122352470667, 0.9509837370635733, 0.9306934687267677, 0.9499305277419291, 0.9454096781959714, 0.933708405618518, 0.9510648406353929, 0.9373193754538155, 0.9562467241019587, 0.9332659917872592, 0.952970571391624, 0.9398380533349858, 0.9524235324975708, 0.942164916440831, 0.9386510263929619, 0.963759866423801, 0.9353269558380292, 0.9418327396897354, 0.9480148852178724, 0.9473105285988722, 0.9613343632132252, 0.9536141990974962, 0.9296426505273464, 0.9420174294393717, 0.9556664341792299, 0.9574873605649628, 0.9540338522006235, 0.9446419448228883, 0.9572558404558404, 0.9442174549000487, 0.955569439052795, 0.941019525619185, 0.9309595939330712, 0.9496739965130824]"
264,2t2qkh0g,mvtec_fcdd_20220520004942.normal_13.it_0,13,pixel-wise-averages-per-image,confetti,"[0.7803888987794988, 0.874425021657396, 0.871861740282793, 0.8960583765598132, 0.9037228835769995, 0.9084078064953658, 0.9068973259917357, 0.8800794132140556, 0.8902848317443346, 0.8804110917199923, 0.9132590534459694, 0.895737371729021, 0.9028258029814047, 0.8936022514071293, 0.9037552430298544, 0.9150384656495034, 0.9001076306954575, 0.8829710264992102, 0.8826041127981665, 0.8875573392707349, 0.902299060193797, 0.8873933400927329, 0.8825090198659397, 0.8775258261992442, 0.899788260519968, 0.8943767871586599, 0.9206530035657732, 0.8830108084318189, 0.904369212962963, 0.8987521660115803, 0.9007181266446538, 0.9022496898587339, 0.8901784512539818, 0.9017846862406449, 0.8877278899066767, 0.8977008312526893, 0.8860262638079978, 0.9064207013290154, 0.912448275862069, 0.8996449696495893, 0.8754807748856138, 0.8949634899831492, 0.8908108824601518, 0.8774497659438526, 0.9002762987578509, 0.9223280436255291, 0.9017974729759685, 0.9027629118197109, 0.9033784929131189, 0.8813035578087847, 0.8988663650362227]"
265,2eglhonv,mvtec_fcdd_20220520004942.normal_4.it_2,4,pixel-wise-averages-per-image,confetti,"[0.5812458109919572, 0.6754984919571047, 0.6496760182912834, 0.765667216777906, 0.7488102012311831, 0.7697419345416308, 0.7534228187919463, 0.8648813866813907, 0.6276432877236628, 0.6428079591800702, 0.7867100198079007, 0.7712673611111112, 0.8468589313659737, 0.8580957323401918, 0.7896545660896114, 0.8880321823667449, 0.8727305503334964, 0.854804677486147, 0.8374494311460327, 0.85202494486717, 0.8437967615857063, 0.8965616458063588, 0.825344537815126, 0.8358322102425876, 0.8682718120805369, 0.8895637583892618, 0.8503355704697986, 0.8409344958640732, 0.8340302521008404, 0.8141373534338358, 0.942825237297599, 0.8782464379667719, 0.8312554963530081, 0.871329691782848, 0.8800826285774819, 0.8974445191661063, 0.8336335455764075, 0.8891269041218638, 0.8504969290898938, 0.9141130772550712, 0.8846083399474938, 0.9184806722689076, 0.851886178541145, 0.8838216723413098, 0.9294295302013423, 0.8305127345844504, 0.8759408301661822, 0.8740815187046342, 0.7992455122364488, 0.8672822613393598, 0.8724132153690647]"
274,11xpsohu,mvtec_fcdd_20220520004942.normal_12.it_2,12,pixel-wise-averages-per-image,confetti,"[0.6708054577464788, 0.7128121878121878, 0.7222331990543912, 0.7582757482394366, 0.7202984068341962, 0.7487628463838911, 0.8049203159458672, 0.8324101361140954, 0.8040126688643268, 0.819532967032967, 0.8159796071972746, 0.8327906432748539, 0.8431893672066082, 0.8367185840429466, 0.838876123876124, 0.9042570051984278, 0.8414230056614638, 0.8715868246499234, 0.8628168832008274, 0.8802653444116859, 0.8713211788211788, 0.8857187602694709, 0.8685850643110585, 0.894098347190406, 0.9165960868399894, 0.858857695540769, 0.8789760205256405, 0.8881029239766082, 0.8836240301445765, 0.9007512244053376, 0.8844071145802294, 0.8986090162560749, 0.8845297342132785, 0.8610211872920899, 0.8858226606115586, 0.9071558521761317, 0.8780573807148508, 0.8893463737908183, 0.9111518541086351, 0.9014583896084823, 0.8853543692582387, 0.8668573026041468, 0.8940298823678964, 0.8861214920143003, 0.9168053841035418, 0.9004628553105978, 0.9098225983686234, 0.8972745880491245, 0.8991122807017544, 0.8781451630907995, 0.8989467637944383]"
275,9su69m0m,mvtec_fcdd_20220520004942.normal_4.it_1,4,pixel-wise-averages-per-image,confetti,"[0.512990290328783, 0.5976402710788205, 0.7076280469103708, 0.7460230583167076, 0.7974798367218158, 0.7836835829793576, 0.7766778523489933, 0.7243120805369127, 0.8772360949996947, 0.7824806154221869, 0.7584520212919004, 0.8957355898123325, 0.7648829525089607, 0.8684813679791918, 0.7831602456728085, 0.822663228314086, 0.7680566579156236, 0.895238340501146, 0.915287548855388, 0.844848484848485, 0.7988135383746182, 0.8100616643262715, 0.9090996076930438, 0.8675810035326652, 0.7813424127623524, 0.8862190264342249, 0.7833658953538067, 0.915248126496871, 0.8232502198541203, 0.846241148355952, 0.8329026845637584, 0.8852798995195046, 0.8519811306976677, 0.8599932930918847, 0.8211501954215522, 0.8875150751311944, 0.7361017959609509, 0.8488873949579832, 0.8456470588235294, 0.8960906040268456, 0.9170973154362416, 0.8834372075778174, 0.9026443966792214, 0.8879662983088101, 0.9343791890080428, 0.8954746719097173, 0.9229746900147509, 0.8493181310082718, 0.9205537578606754, 0.9556633665664643, 0.8719369434700438]"
282,1xdojdoz,mvtec_fcdd_20220520004942.normal_12.it_1,12,pixel-wise-averages-per-image,confetti,"[0.7456885310958671, 0.6789203478260869, 0.7111513054419628, 0.7710917398581446, 0.8053755545514296, 0.7926298533262286, 0.8161474092983372, 0.8285846947072737, 0.820432067932068, 0.8681964912280702, 0.8842163798860682, 0.8708439669480486, 0.887865939660807, 0.8862662106078405, 0.885104980447002, 0.8916413084823127, 0.8950650874493032, 0.8884292717974727, 0.8952180028129395, 0.8956369333055052, 0.9048072653484455, 0.9095331632184752, 0.9149665936597106, 0.9064740722945003, 0.9205142075285584, 0.9219216205565524, 0.9008593786332674, 0.9431759170020977, 0.9052601238031702, 0.9223696166687799, 0.9189401630215162, 0.8942793627644599, 0.932734731104957, 0.9274269005847954, 0.9141522307721467, 0.9154519097060695, 0.9137835866027972, 0.9140959064327485, 0.9049393314894547, 0.9046125973790687, 0.8963063975151002, 0.9080277296711532, 0.9136443923932763, 0.9038175438596491, 0.8985714285714287, 0.9035262383646371, 0.924429140517845, 0.9002010664406311, 0.9410397414819434, 0.9153949774354186, 0.9068978943724868]"
283,3t6yyawg,mvtec_fcdd_20220520004942.normal_4.it_0,4,pixel-wise-averages-per-image,confetti,"[0.692013422818792, 0.8664347887498014, 0.7874078418230563, 0.830518610659267, 0.8236912751677852, 0.8026006711409396, 0.7774386554621848, 0.7543243243243243, 0.7608955535695632, 0.777831186310325, 0.6526683981233243, 0.7398319327731092, 0.7871133445002791, 0.7453145917001338, 0.766993430241581, 0.7671979865771812, 0.856714360235487, 0.8841815126050421, 0.8216771475670066, 0.8276324614352782, 0.8715132914528685, 0.841761744966443, 0.8997965542994, 0.8679855510752688, 0.8539093959731543, 0.8730425682998841, 0.8897520740421043, 0.8896689081264421, 0.8616312242279279, 0.8870903010033445, 0.9037487026069968, 0.8982046979865772, 0.892265100671141, 0.8807712000564981, 0.8399614435308378, 0.8409223326683027, 0.871493288590604, 0.855384744623656, 0.8742669678907902, 0.8714173819914001, 0.7570794235924934, 0.8575527815013406, 0.914890756302521, 0.9111577181208055, 0.8137715179968701, 0.9265038538873994, 0.8329596214622433, 0.8422572471868246, 0.8559609584450402, 0.8671979865771812, 0.8712974433296248]"
