,runid,name,it,net,bias,cuda,load,test,epochs,logdir,readme,datadir,dataset,preproc,resdown,workers,oe_limit,quantile,gauss_std,loss_mode,batch_size,noise_mode,acc_batches,normal_class,weight_decay,blur_heatmaps,learning_rate,nominal_label,log_start_time,lr_sched_param,optimizer_type,scheduler_type,supervise_mode,log_start_time_str,normal_class_label,_runtime,_timestamp,test_rocauc,lr,loss,_step,epoch,_wandb,loss_normal,loss_anomalous
561,3unzyafc,mvtec_fcdd_20220516164643.normal_13.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_13/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,13,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,wood,6330.0,1652809014.0,0.9137149636595062,0.0004768428712720824,0.12448085099458694,50.0,49.0,{'runtime': 6325},,
562,2m712vx2,mvtec_fcdd_20220516164751.normal_5.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164751/normal_5/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,5,0.0001,False,0.001,0,1652712471,[0.985],sgd,lambda,malformed_normal_gt,20220516164751,hazelnut,9434.0,1652812083.0,0.94791350335424,0.0004768428712720824,0.0445781871676445,50.0,49.0,{'runtime': 9434},,
563,12mjqyqj,mvtec_fcdd_20220517160850.normal_0.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160850/normal_0/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652796530,[0.985],sgd,lambda,malformed_normal_gt,20220517160850,bottle,4711.0,1652806121.0,0.9557778655959432,0.0004768428712720824,0.107627235352993,50.0,49.0,{'runtime': 4708},,
564,f4zsojci,mvtec_fcdd_20220517151617.normal_8.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_8/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,8,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,pill,7017.0,1652807450.0,0.8705888193514596,0.0004768428712720824,41.6090087890625,50.0,49.0,{'runtime': 7012},,
565,xy7c4unf,mvtec_fcdd_20220517151617.normal_0.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_0/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,bottle,5213.0,1652804211.0,0.9525883650026484,0.0004768428712720824,40.864402770996094,50.0,49.0,{'runtime': 5212},,
566,53go4rre,mvtec_fcdd_20220516164612.normal_7.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164612/normal_7/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,mvtec_gt,8,7,0.0001,False,0.001,0,1652712372,[0.985],sgd,lambda,noise,20220516164612,metal_nut,1909.0,1652799388.0,0.9863627460894304,0.0004768428712720824,0.10659006237983704,50.0,49.0,{'runtime': 1910},,
567,1ib2pezz,mvtec_fcdd_20220516164643.normal_4.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_4/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,4,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,grid,6175.0,1652803314.0,0.8983812069944103,0.0004768428712720824,0.11361483484506608,50.0,49.0,{'runtime': 6170},,
568,2cftzdsk,mvtec_fcdd_20220517160858.normal_8.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160858/normal_8/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,8,0.0001,False,0.001,0,1652796538,[0.985],sgd,lambda,malformed_normal_gt,20220517160858,pill,6202.0,1652802742.0,0.8527171081936757,0.0004768428712720824,0.10711227357387544,50.0,49.0,{'runtime': 6202},,
569,1xa6ukr2,mvtec_fcdd_20220517160850.normal_0.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517160850/normal_0/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652796530,[0.985],sgd,lambda,malformed_normal_gt,20220517160850,bottle,4868.0,1652801400.0,0.9510141197893192,0.0004768428712720824,0.12490436434745789,50.0,49.0,{'runtime': 4870},,
570,3oij9p5a,mvtec_fcdd_20220516164751.normal_4.it_2,2,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164751/normal_4/it_2,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,4,0.0001,False,0.001,0,1652712471,[0.985],sgd,lambda,malformed_normal_gt,20220516164751,grid,6349.0,1652802641.0,0.6402804889189725,0.0004768428712720824,0.02684665471315384,50.0,49.0,{'runtime': 6344},,
571,3b45tes7,mvtec_fcdd_20220516164800.normal_13.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164800/normal_13/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distances,16,confetti,8,13,0.0001,False,0.001,0,1652712480,[0.985],sgd,lambda,malformed_normal_gt,20220516164800,wood,6429.0,1652802678.0,0.8480503513548482,0.0004768428712720824,0.03156959265470505,50.0,49.0,{'runtime': 6428},,
572,2qlrjw2j,mvtec_fcdd_20220516164643.normal_13.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164643/normal_13/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-level-balanced,16,confetti,8,13,0.0001,False,0.001,0,1652712403,[0.985],sgd,lambda,malformed_normal_gt,20220516164643,wood,6550.0,1652802674.0,0.9295197982216116,0.0004768428712720824,0.12930051982402802,50.0,49.0,{'runtime': 6545},,
573,1ufas2fe,mvtec_fcdd_20220516164612.normal_7.it_1,1,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164612/normal_7/it_1,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,mvtec_gt,8,7,0.0001,False,0.001,0,1652712372,[0.985],sgd,lambda,noise,20220516164612,metal_nut,1831.0,1652797472.0,0.9878986582307864,0.0004768428712720824,0.0737995132803917,50.0,49.0,{'runtime': 1832},,
574,3psjs82z,mvtec_fcdd_20220516164612.normal_7.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220516164612/normal_7/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-averages-per-image,16,mvtec_gt,8,7,0.0001,False,0.001,0,1652712372,[0.985],sgd,lambda,noise,20220516164612,metal_nut,1794.0,1652795633.0,0.9840080515075827,0.0004768428712720824,0.09450630843639374,50.0,49.0,{'runtime': 1794},,
575,vtj8ry2i,mvtec_fcdd_20220517151617.normal_0.it_0,0,FCDD_CNN224_VGG_F,True,True,,True,50,../../data/results/mvtec_fcdd_20220517151617/normal_0/it_0,,../../data/datasets,mvtec,lcnaug1,64,4,1,0.99,12,pixel-wise-average-distance-per-image,16,confetti,8,0,0.0001,False,0.001,0,1652793377,[0.985],sgd,lambda,malformed_normal_gt,20220517151617,bottle,5604.0,1652798987.0,0.9467213142844276,0.0004768428712720824,35.783164978027344,50.0,49.0,{'runtime': 5604},,
